price updated
price updated
price updated
price updated
price updated
price updated
price updated
price updated
Traceback (most recent call last):
  File "/home/andrea/Desktop/paywac_website_v02/cronjob_scripts/cron_update_gas_price.py", line 44, in <module>
    print(str(datetime.now())+' -- price updated')
NameError: name 'datetime' is not defined
2019-10-02 11:36:02.769439 -- price updated
2019-10-02 11:39:03.565704 -- price updated
2019-10-02 11:42:02.659375 -- price updated
2019-10-02 11:45:03.632300 -- price updated
2019-10-02 11:48:02.943269 -- price updated
2019-10-02 11:51:03.062096 -- price updated
2019-10-02 11:54:02.343246 -- price updated
2019-10-02 11:57:02.559361 -- price updated
2019-10-03 10:03:42.252963 -- price updated
2019-10-03 10:06:02.418395 -- price updated
2019-10-03 10:09:02.756866 -- price updated
2019-10-03 10:12:02.551733 -- price updated
2019-10-03 10:15:03.412220 -- price updated
2019-10-03 10:18:02.808594 -- price updated
2019-10-03 10:21:02.702215 -- price updated
2019-10-03 10:24:03.070050 -- price updated
2019-10-03 10:27:02.356140 -- price updated
2019-10-03 10:30:03.077931 -- price updated
2019-10-03 10:33:02.274182 -- price updated
2019-10-03 10:36:02.491205 -- price updated
2019-10-03 10:39:02.932784 -- price updated
2019-10-03 10:42:02.759780 -- price updated
2019-10-03 10:45:03.511255 -- price updated
2019-10-03 10:48:02.701008 -- price updated
2019-10-03 10:51:02.624452 -- price updated
2019-10-03 10:54:02.836875 -- price updated
2019-10-03 10:57:03.229324 -- price updated
2019-10-03 11:00:03.604723 -- price updated
2019-10-03 11:03:03.382327 -- price updated
2019-10-03 11:06:02.737700 -- price updated
2019-10-03 11:09:03.158266 -- price updated
2019-10-03 11:12:03.187931 -- price updated
2019-10-03 11:15:02.574122 -- price updated
2019-10-03 11:18:04.260143 -- price updated
2019-10-03 11:21:02.776034 -- price updated
2019-10-03 11:24:03.276294 -- price updated
2019-10-03 11:27:02.663468 -- price updated
2019-10-03 11:30:03.372711 -- price updated
2019-10-03 11:33:02.684979 -- price updated
2019-10-03 11:36:03.061690 -- price updated
2019-10-03 11:39:02.420899 -- price updated
2019-10-03 12:54:03.004952 -- price updated
2019-10-03 14:36:02.284542 -- price updated
2019-10-03 14:39:02.480567 -- price updated
2019-10-03 14:42:02.283962 -- price updated
2019-10-03 14:45:02.511703 -- price updated
2019-10-03 14:48:02.830316 -- price updated
2019-10-03 14:51:02.741918 -- price updated
2019-10-03 14:54:02.966792 -- price updated
2019-10-03 14:57:02.294432 -- price updated
2019-10-03 15:00:02.900958 -- price updated
2019-10-03 15:03:03.343676 -- price updated
2019-10-03 15:06:02.648948 -- price updated
2019-10-03 15:09:03.377836 -- price updated
2019-10-03 15:12:02.281720 -- price updated
2019-10-03 15:15:02.639913 -- price updated
2019-10-03 15:18:02.979465 -- price updated
2019-10-03 15:21:02.983356 -- price updated
2019-10-03 15:24:02.474384 -- price updated
2019-10-03 15:27:02.758135 -- price updated
2019-10-03 15:30:02.985159 -- price updated
2019-10-03 15:33:02.297915 -- price updated
2019-10-03 15:36:02.629809 -- price updated
2019-10-03 15:39:02.970114 -- price updated
2019-10-03 15:42:02.954248 -- price updated
2019-10-03 15:45:02.471817 -- price updated
2019-10-03 15:48:03.021934 -- price updated
2019-10-03 15:51:02.780722 -- price updated
2019-10-03 15:54:03.233406 -- price updated
2019-10-03 15:57:02.633038 -- price updated
2019-10-03 16:00:03.149949 -- price updated
2019-10-03 16:03:02.472017 -- price updated
2019-10-03 16:06:02.798321 -- price updated
2019-10-03 16:09:03.116225 -- price updated
2019-10-03 16:12:03.111623 -- price updated
2019-10-03 16:15:02.383589 -- price updated
2019-10-03 16:18:03.047136 -- price updated
2019-10-03 16:21:03.411046 -- price updated
2019-10-03 16:24:05.186570 -- price updated
2019-10-03 16:27:14.543263 -- price updated
2019-10-03 16:30:08.469962 -- price updated
2019-10-03 16:33:04.503274 -- price updated
2019-10-03 16:36:10.279576 -- price updated
2019-10-03 16:39:05.093603 -- price updated
2019-10-03 16:42:04.079274 -- price updated
2019-10-03 16:45:02.555917 -- price updated
2019-10-03 16:48:04.429120 -- price updated
2019-10-03 16:51:03.040334 -- price updated
2019-10-03 16:54:03.234649 -- price updated
2019-10-03 16:57:02.924204 -- price updated
